P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p).1,min_rec_length,breakpoints,recombinant
SRR21868903_NC_045512:0,SRR21671375_NC_045512:0,SRR21610934_NC_045512:0,10,4,4,0.010989012197,0,-1.959,0.02186,0.02185727,167,1216-9801 & 9968-11304,SRR21610934
SRR20940284_NC_045512:0,SRR15391719_NC_045512:0,SRR20186719_NC_045512:0,6,8,8,0.002331002848,0,-2.6325,0.00466,0.004656572,10,0-22024 & 22034-23069,SRR20186719
ERR6203132_NC_045512:0,ERR6470123_NC_045512:0,node_181040_NC_045512:0,5,7,7,0.007575758267,0,-2.1206,0.01509,0.01509412,9,19118-22025 & 22034-29903,node_181040
ERR6387616_NC_045512:0,ERR6440908_NC_045512:0,ERR6758858_NC_045512:0,14,6,6,0.000386996951,0,-3.4123,0.00077,0.0007738441,8,21045-22026 & 22034-23708,ERR6758858
ERR7303279_NC_045512:0,ERR7147134_NC_045512:0,node_180844_NC_045512:0,7,9,8,0.009265736677,0,-2.0331,0.01845,0.01844562,203,17622-22025 & 22228-29000,node_180844
SRR15199752_NC_045512:0,SRR15534656_NC_045512:0,node_181129_NC_045512:0,8,8,7,0.009401709773,0,-2.0268,0.01872,0.01871503,9,19734-22025 & 22034-27130,node_181129
ERR6491589_NC_045512:0,SRR15200057_NC_045512:0,ERR6492835_NC_045512:0,4,7,7,0.015151516534,0,-1.8195,0.03007,0.03007346,9,19670-22025 & 22034-29903,ERR6492835
SRR16379364_NC_045512:0,ERR7232760_NC_045512:0,SRR20258232_NC_045512:0,17,6,6,0.000178311398,0,-3.7488,0.00036,0.000356591,6,21261-22028 & 22034-24109,SRR20258232
SRR21158121_NC_045512:0,SRR21795464_NC_045512:0,SRR22255468_NC_045512:0,10,11,11,3.1186566e-05,0,-4.506,6e-05,6.237216e-05,3375,0-598 & 22600-26528,SRR22255468
ERR9271929_NC_045512:0,ERR8303458_NC_045512:0,ERR9278240_NC_045512:0,29,16,16,4.6e-11,0,-10.3335,0.0,9.278929e-11,9786,605-2468 & 12254-14945,ERR9278240
ERR8639404_NC_045512:0,SRR20136249_NC_045512:0,SRR21458174_NC_045512:0,8,15,15,1.8355589e-05,0,-4.7362,4e-05,3.671084e-05,4488,0-821 & 23019-25415,SRR21458174
ERR5316952_NC_045512:0,ERR5458865_NC_045512:0,ERR5458848_NC_045512:0,8,4,4,0.018181821331,0,-1.7404,0.03603,0.03603306,4,17799-26719 & 26723-27058,ERR5458848
ERR6664562_NC_045512:0,ERR6205935_NC_045512:0,ERR7379837_NC_045512:0,5,7,7,0.007575758267,0,-2.1206,0.01509,0.01509412,9,11866-22025 & 22034-25412,ERR7379837
