usher_node,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,usher_num_descendants
node_141279,{'AY.4': 1},740727,1,-1,2147483648,1
ERR4989513,{'AD.2': 1},64819,1,-1,2147483648,1
SRR21610934,{'BA.5.2': 1},1360126,1,1189192,6,1
SRR18781949,{'BA.1.1': 1},1109101,1,-1,2147483648,1
node_181294,{'AY.39': 2},558354,2,-1,2147483648,2
node_627090,"{'BA.2.3.20': 79, 'CM.5': 5, 'CM.2': 72, 'CM.8.1': 19, 'CM.4': 18, 'CM.7': 1, 'CM.1': 2, 'CM.5.2': 7, 'CM.3': 4, 'CM.7.1': 2, 'CM.9': 1, 'CM.4.1': 4, 'CM.10': 1, 'CM.6': 1}",1373997,216,-1,2147483648,216
node_181333,{'AY.39': 1},391701,1,-1,2147483648,1
ERR7441941,{'AY.4': 1},791378,1,-1,2147483648,1
node_391741,{'B.1.1.7': 7},106919,7,-1,2147483648,7
node_600484,{'XBR': 1},1420165,1,1420166,1,1
SRR20186719,{'AY.119.2': 1},862839,2,295320,7,1
node_95072,{'AY.4.2': 4},750603,4,-1,2147483648,4
SRR21869122,{'BA.5.2': 1},1379589,1,1189192,5,1
node_181040,{'AY.4': 2},378676,282,-1,2147483648,2
SRR20115910,{'AY.117': 1},843241,1,295320,9,1
node_73616,{'AY.4': 7},759802,7,-1,2147483648,7
ERR6758858,{'AY.4': 1},478619,1,478620,1,1
ERR7310305,{'AY.4': 1},707305,1,707306,1,1
node_180844,{'AY.4.2': 6},606246,24,-1,2147483648,6
node_32429,{'B.1.177': 3},71915,3,-1,2147483648,3
node_573888,{'BQ.1.2': 2},1401573,2,1189192,11,2
SRR18821383,{'B.1.2': 1},60053,1,-1,2147483648,1
SRR21899008,{'BA.5.1.22': 1},1380131,1,1189192,6,1
SRR16318073,{'AY.44': 1},407820,1,-1,2147483648,1
node_422414,{'BA.1': 2},982159,2,-1,2147483648,2
ERR7239088,{'AY.4': 1},615438,1,-1,2147483648,1
node_182051,{'AY.120': 3},220139,708356,-1,2147483648,3
node_181835,{'AY.100': 2},2737093,2,-1,2147483648,2
SRR19675081,{'BA.2.9': 1},1210408,1,-1,2147483648,1
ERR6489254,{'AY.4': 1},357241,1,-1,2147483648,1
node_181129,{'AY.107': 2},392053,2,295320,9,2
node_418144,{'BA.1.15': 14},820352,29475,-1,2147483648,14
SRR20918312,{'AY.25.1': 1},903385,1,-1,2147483648,1
node_149637,{'AY.4': 12},425476,16,-1,2147483648,12
node_180836,{'AY.4.2.1': 2},669271,2,669271,0,2
ERR6492835,{'AY.100': 1},373069,1,-1,2147483648,1
node_452299,"{'BA.1.1': 17, 'BA.1.1.8': 1, 'BA.1.1.7': 1, 'BA.1.20': 1}",791357,341822,-1,2147483648,20
SRR20258232,{'AY.39.1': 1},652406,1,652407,1,1
node_180673,{'B.1.617.2': 3},638821,3,295320,4,3
ERR7111306,{'AY.4.2.1': 1},621450,1,-1,2147483648,1
SRR14391907,{'B.1.637': 1},225793,1,-1,2147483648,1
ERR8160926,{'BA.1.1': 1},969651,1,-1,2147483648,1
node_46502,{'B.1.617.2': 2},220139,708356,-1,2147483648,2
ERR6382454,{'AY.4': 1},343037,1,-1,2147483648,1
node_35718,{'B.1.177': 2},23457,35390,-1,2147483648,2
node_309654,{'AY.44': 8},891576,8,867631,1,8
node_181897,{'AY.100': 1},894830,1,894831,1,1
node_527252,{'BA.2': 112},1163249,113,-1,2147483648,112
SRR19724455,{'BA.2': 1},1252856,1,-1,2147483648,1
node_175008,{'AY.100': 2},887697,2,753831,1,2
SRR15628733,{'AY.110': 1},395118,1,-1,2147483648,1
node_143964,{'AY.4': 3},673482,3,-1,2147483648,3
node_546458,{'XBB.1.5.7': 1},1427250,1,1396207,9,1
SRR16735409,{'AY.44': 1},457564,1,-1,2147483648,1
SRR16077175,{'AY.39': 1},525127,2,-1,2147483648,1
ERR5685683,{'B.1.1.7': 1},193172,1,-1,2147483648,1
SRR22255468,{'BA.5': 1},1381415,1,1381416,1,1
node_598929,{'BA.5': 3},1382090,3,1382090,0,3
SRR21340695,{'BA.2.7': 1},1188208,1,-1,2147483648,1
SRR23608292,{'BQ.1.1': 1},1435679,1,1189192,12,1
ERR6342716,{'B.1.617.2': 1},321709,1,-1,2147483648,1
node_182282,{'B.1.617.2': 2},395104,2,295320,8,2
SRR18783902,{'BA.1.1': 1},1090194,1,-1,2147483648,1
node_598934,"{'BA.5.2.1': 1, 'BE.2': 1}",1265307,230,1189192,6,2
ERR9278240,{'BA.2': 1},1123299,1,1123300,1,1
SRR21458449,{'BA.5.2.31': 1},1344062,1,1189192,9,1
